,0,1
0,JAMMU & KASHMIR,829109
1,HIMACHAL PRADESH,921080
2,PUNJAB,3743486
3,CHANDIGARH,260786
4,UTTARAKHAND,1624197
5,HARYANA,3626260
6,NCT OF DELHI,2600912
7,RAJASTHAN,7219526
8,UTTAR PRADESH,14412965
9,BIHAR,6909439
10,IKKIM,102474
11,ARUNACHAL PRADESH,253224
12,NAGALAND,254685
13,MANIPUR,195764
14,MIZORAM,136261
15,TRIPURA,354081
16,MEGHALAYA,208756
17,ASSAM,2896119
18,WEST BENGAL,8933321
19,JHARKHAND,2999009
20,ODISHA,4454572
21,CHHATTISGARH,3002954
22,MADHYA PRADESH,7947991
23,GUJARAT,9521542
24,DAMAN & DIU,106707
25,DADRA & NAGAR HAVELI,118095
26,MAHARASHTRA,20620198
27,ANDHRA PRADESH,11096243
28,KARNATAKA,9197706
29,GOA,435131
30,LAKSHADWEEP,15479
31,KERALA,6010350
32,TAMIL NADU,10526724
33,PUDUCHERRY,276741
34,ANDAMAN & NICOBAR ISLANDS,96383
